Hikayat 	1	7	0	0	Malay
Handalan 	1	8	0	0	Malay
Asrama 	1	6	1	0	Malay
Cooling 	0	7	1	4	Generic
Pesawat 	1	7	0	0	Malay
Keng Cheow 	0	4.5	0	1	Chinese
Bukit Teresa 	0	5.5	0	2	British
Phoenix 	0	7	1	4	Generic
Collyer 	0	7	0	2	British
Damai 	1	5	0	0	Malay
Pang Seng 	0	4	0	1	Chinese
Tumpu 	1	5	0	0	Malay
Yio Chu Kang 	0	3.3333333333	0	1	Chinese
Merbok 	1	6	0	0	Malay
Hong Lee 	0	3.5	1	1	Chinese
Crescent 	0	8	1	4	Generic
Tampines 	0	8	0	0	Malay
Jarak 	1	5	0	0	Malay
Gambir 	1	6	1	0	Malay
Maju 	0	4	0	0	Malay
Halus 	1	5	0	0	Malay
Kelichap 	1	8	0	0	Malay
Duke 	0	4	1	4	Generic
Tao Ching 	0	4	0	1	Chinese
Seruling 	1	8	0	0	Malay
Victoria 	0	8	1	2	British
Joo Yee 	0	3	0	1	Chinese
Batai 	1	5	0	0	Malay
La Salle 	0	3.5	1	5	Other
Marina 	0	6	1	4	Generic
Pasar 	0	5	0	0	Malay
Camphor 	0	7	1	5	Other
Hertford 	0	8	0	2	British
Nira 	1	4	0	0	Malay
Tras 	0	4	0	0	Malay
Kesum 	1	5	0	0	Malay
Hendon 	0	6	0	2	British
Ah Hood 	0	3	1	1	Chinese
Dalkeith 	0	8	0	2	British
Zion 	0	4	0	4	Generic
Dryburgh 	0	8	0	2	British
Khairuddin 	1	10	0	0	Malay
Bahagia 	1	7	0	0	Malay
Bridge 	0	6	1	4	Generic
Belilios 	0	8	0	5	Other
Cheang Hong Lim 	0	4.3333333333	0	1	Chinese
Eng Kong 	0	3.5	0	1	Chinese
Lyndhurst 	0	9	0	2	British
Batawi 	1	6	0	0	Malay
Clarence 	0	8	1	2	British
Siang Lim 	0	4	0	1	Chinese
Beringin 	1	8	0	0	Malay
Empat 	1	5	0	0	Malay
Kian Teck 	0	4	0	1	Chinese
Sindor 	1	6	0	0	Malay
Hun Yeang 	0	4	0	1	Chinese
Liane 	0	5	1	2	British
Cable 	0	5	1	4	Generic
Cantonment 	0	10	1	4	Generic
Lloyd 	0	5	0	2	British
St. Xavier's 	0	5.5	0	2	British
Mayne 	0	5	0	2	British
Buckley 	0	7	0	2	British
Kismis 	0	6	0	5	Other
Miller 	0	6	1	2	British
Majapahit 	1	9	0	3	Indian
Canberra 	0	8	0	5	Other
Kallang Pudding 	0	7	0	0	Malay
Aida 	0	4	0	5	Other
Gangsa 	0	6	0	0	Malay
Sahad 	1	5	0	0	Malay
Rebana 	1	6	0	0	Malay
Canada 	0	6	0	5	Other
Woodleigh 	0	9	0	2	British
Lima 	1	4	1	0	Malay
Dunbar 	0	6	0	2	British
Batalong 	1	8	0	0	Malay
Greenview 	0	9	0	4	Generic
Yew Siang 	0	4	0	1	Chinese
Stangee 	0	7	0	0	Malay
Ban San 	0	3	1	1	Chinese
Raya 	1	4	1	0	Malay
Watten 	0	6	0	2	British
Camden 	0	6	0	2	British
Woodgrove 	0	9	0	2	British
Berrima 	0	7	0	5	Other
Paranakan 	0	9	0	5	Other
Catterick 	0	9	0	2	British
Tukang Tiga 	1	5	0	0	Malay
Moreton 	0	7	0	2	British
Starlight 	0	9	1	4	Generic
Naung 	1	5	0	5	Other
Kenya 	0	5	0	5	Other
Ceylon 	0	6	0	5	Other
Lepas 	1	5	0	0	Malay
Kandis 	1	6	0	0	Malay
Kerepek 	1	7	0	0	Malay
Aroozoo 	0	7	0	5	Other
Bangau 	1	6	0	0	Malay
Kerbau 	0	6	0	0	Malay
Kechot 	1	6	0	0	Malay
Perahu 	1	6	0	0	Malay
Dinding 	1	7	0	0	Malay
St. Wilfred 	0	5	0	2	British
Lincoln 	0	7	0	2	British
Wan Lee 	0	3	1	1	Chinese
Maxwell 	0	7	1	2	British
Sunrise Villa 	0	6	1	4	Generic
Blair 	0	5	0	2	British
Namly 	0	5	0	2	British
Raffles 	0	7	1	2	British
Ewart 	0	5	0	2	British
Springside 	0	10	0	4	Generic
Poole 	0	5	0	2	British
Rabu 	1	4	0	0	Malay
Whitley 	0	7	0	2	British
Langsat 	0	7	0	0	Malay
Jiak Chuan 	0	4.5	0	1	Chinese
Merah Saga 	1	4.5	0	0	Malay
Penjara 	1	7	0	0	Malay
Bandang 	1	7	0	0	Malay
Jermin 	1	6	0	0	Malay
Beo 	0	3	0	1	Chinese
Boon Lay 	1	3.5	1	1	Chinese
Lambeth 	0	7	0	2	British
Cassia 	0	6	1	4	Generic
Rajawali 	1	8	0	0	Malay
Eaton 	0	5	0	2	British
Bahar 	1	5	0	0	Malay
Robertson 	0	9	0	2	British
Yarwood 	0	7	0	2	British
Berjaya 	1	7	0	0	Malay
Ho Ching 	0	3.5	0	1	Chinese
Clacton 	0	7	0	2	British
Gray 	0	4	0	2	British
Farleigh 	0	8	0	2	British
Hastings 	0	8	1	2	British
Lavender 	0	8	1	6	Nature
Gemala 	1	6	0	0	Malay
Toh Tuck 	0	3.5	0	1	Chinese
Dangai 	1	6	0	0	Malay
Fernhill 	0	8	0	2	British
Sandy 	0	5	1	4	Generic
Minggu 	1	6	0	0	Malay
Chengkek 	1	8	0	0	Malay
Surin 	0	5	0	5	Other
Peng Nguan 	0	4.5	0	1	Chinese
Guan Soon 	0	4	1	1	Chinese
Jervois 	0	7	0	2	British
Richards 	0	8	0	2	British
Hillview 	0	8	0	4	Generic
Telok Kurau 	0	5	0	0	Malay
Khiang Guan 	0	5	0	1	Chinese
Sime 	0	4	0	2	British
Crichton 	0	8	0	2	British
Vernon 	0	6	0	2	British
Belmont 	0	7	0	2	British
Beechwood 	0	9	1	2	British
Pelatina 	1	8	0	0	Malay
St. John's 	0	4.5	0	2	British
Moh Guan 	0	3.5	0	1	Chinese
Crawford 	0	8	0	2	British
Biawak 	1	6	0	0	Malay
Mei Chin 	0	3.5	0	1	Chinese
Chorak 	1	6	0	0	Malay
Ellington 	0	9	0	2	British
Warna 	1	5	0	0	Malay
Li Po 	0	2	1	1	Chinese
Fulton 	0	6	0	2	British
Pasar Baru 	1	4.5	0	0	Malay
Worcester 	0	9	1	2	British
Cashin 	0	6	0	2	British
Hon Sui Sen 	0	3	0	1	Chinese
Dalhousie 	0	9	0	2	British
Anderson 	0	8	0	2	British
Ayam Katek 	1	4.5	0	0	Malay
Orchard Spring 	0	6.5	1	4	Generic
Hu Ching 	0	3.5	0	1	Chinese
Woolwich 	0	8	0	2	British
Lemon 	0	5	1	4	Generic
Selamat 	1	7	0	0	Malay
Ilmu 	1	4	0	0	Malay
Hongkong 	0	8	0	1	Chinese
Swan Lake 	0	4	1	4	Generic
Sing 	0	4	1	4	Generic
Genting 	0	7	0	0	Malay
Simon 	0	5	0	2	British
Bukit Tinggi 	0	5.5	0	0	Malay
Pokok Serunai 	1	6	0	0	Malay
Tu Fu 	0	2	0	1	Chinese
Mistri 	0	6	0	0	Malay
Bintang Tiga 	1	5.5	0	0	Malay
Kupang 	1	6	0	0	Malay
Orchard 	0	7	1	4	Generic
Dickson 	0	7	0	2	British
Isnin 	1	5	0	0	Malay
Harding 	0	7	0	2	British
Middle 	0	6	1	4	Generic
Venus 	0	5	1	5	Other
Pelangi 	1	7	0	0	Malay
Cactus 	0	6	1	6	Nature
Lokam 	1	5	0	0	Malay
Greenridge 	0	10	0	2	British
Marsiling 	0	9	0	1	Chinese
Kampong Ampat 	0	6	0	0	Malay
Sandilands 	0	10	0	2	British
River 	0	5	1	4	Generic
Ruby 	0	4	1	4	Generic
Mount Sophia 	0	5.5	1	2	British
New Market 	0	4.5	1	4	Generic
Gladiola 	0	8	1	4	Generic
Circus 	0	6	1	4	Generic
Parkstone 	0	9	0	2	British
Cross 	0	5	1	4	Generic
Brighton 	0	8	0	2	British
Playfair 	0	8	0	2	British
Belibas 	1	7	0	0	Malay
Galistan 	0	8	0	5	Other
Tech 	0	4	0	4	Generic
Mangis 	0	6	0	0	Malay
Mar Thoma 	0	4	0	5	Other
Libra 	0	5	1	4	Generic
International Business 	0	10.5	1	4	Generic
Elite 	0	5	1	4	Generic
